統合開発環境|とうごうかいはつかんきょう|Integrated Development Environment
責めを負う|せめをおう|to take the blame
太鼓判を押す|たいこばんをおす|to give the stamp of approval
体を壊す|からだをこわす|to harm one's health
探りを入れる|さぐりをいれる|to probe; to search; to sound out; to investigate
恥を知る|はじをしる|to know shame; to have a sense of shame; to be ashamed
調子を合わせる|ちょうしをあわせる|to harmonize with; to keep in tune with
調子を合わせる|ちょうしをあわせる|to go along with; to keep in step
泥を塗る|どろをぬる|to besmirch; to sully
的を絞る|まとをしぼる|to narrow in (on); to home in; to focus; to target
一服を盛る|いっぷくをもる|to drug (someone, food, drink)
謎を解く|なぞをとく|to solve a mystery
風を吹かす|かぜをふかす|to exercise one's authority as a (noun); to act as a (noun)
風を入れる|かぜをいれる|to let in (fresh) air
聞き耳を立てる|ききみみをたてる|to prick up one's ears and listen; to listen attentively
名を残す|なをのこす|to be remembered; to go down in history
命を縮める|いのちをちぢめる|to shorten one's life
面目を失う|めんぼくをうしなう|to lose face; to disgrace oneself
第八脳神経|だいはちのうしんけい|eighth brain nerve; nervus vestibulocochlearis; vestibulocochlear nerve
門戸を開く|もんこをひらく|to (metaphorically) open the door (to)
労を惜しまず|ろうをおしまず|sparing no trouble; taking pains (to); take the trouble (to)
烙印を押される|らくいんをおされる|to be branded a ...; to be labelled a ...
悪ふざけをする|わるふざけをする|to play pranks (on); to joke around
異臭を放つ|いしゅうをはなつ|to give off a stench
陰で悪口を言う|かげでわるくちをいう|to insult someone behind their back
対潜哨戒機|たいせんしょうかいき|antisubmarine aircraft
攻撃機|こうげきき|attack aircraft
ごく最近|ごくさいきん|very recently; in the very recent past
極最近|ごくさいきん|very recently; in the very recent past
被保護国|ひほごこく|protectorate (country); dependency; dependent state
衡平法|こうへいほう|equity
皇民化|こうみんか|imperialise; imperialize
皇民化政策|こうみんかせいさく|imperialisation policy (esp. on Korea during Japan's colonial rule) (imperialization); policy of imperialisation
抵抗精神|ていこうせいしん|spirit of resistance
教鞭をとる|きょうべんをとる|to teach; to take a teaching job
教鞭を執る|きょうべんをとる|to teach; to take a teaching job
教鞭を取る|きょうべんをとる|to teach; to take a teaching job
金に糸目をつけず|かねにいとめをつけず|(doing something) regardless of expense
金に糸目を付けず|かねにいとめをつけず|(doing something) regardless of expense
早鐘を打つ|はやがねをうつ|to beat fast (of a heart); to hammer
対策を講じる|たいさくをこうじる|to take measures (against); to take steps
大往生を遂げる|だいおうじょうをとげる|to die peacefully; to have lived a full life
長広舌を振るう|ちょうこうぜつをふるう|to make a long-winded speech; to give a long talk
敏腕を振るう|びんわんをふるう|to show one's competence; to demonstrate one's skill
野菜を作る|やさいをつくる|to grow vegetables
役割を演じる|やくわりをえんじる|to carry out a role
剪断応力|せんだんおうりょく|shear stress
紆余曲折を経て|うよきょくせつをへて|after many twists and turns; after much trouble
剪断加工|せんだんかこう|shear processing
いとど||old name for a cave cricket
いとど||even though; despite; even more; still
レッテルを貼る|レッテルをはる|to label (someone as)
横を向く|よこをむく|to look away; to turn away
横槍を入れる|よこやりをいれる|to interrupt; to butt in
横やりを入れる|よこやりをいれる|to interrupt; to butt in
蓋を開ける|ふたをあける|to open the lid; to lift a lid
蓋を開ける|ふたをあける|to open the lid (on); to make public
蓋を開ける|ふたをあける|to start (something)
蓋を開ける|ふたをあける|to look at the results (consequences, outcome, effect); to look at the condition of something
蓋を開ける|ふたをあける|to open (of a theatre)
ふたを開ける|ふたをあける|to open the lid; to lift a lid
ふたを開ける|ふたをあける|to open the lid (on); to make public
ふたを開ける|ふたをあける|to start (something)
ふたを開ける|ふたをあける|to look at the results (consequences, outcome, effect); to look at the condition of something
ふたを開ける|ふたをあける|to open (of a theatre)
行政条例|ぎょうせいじょうれい|executive order
曇らせる|くもらせる|to cloud; to make dim or dull; to frown
常勤講師|じょうきんこうし|(full-time) lecturer
旗を振る|はたをふる|to wave a flag
旗を振る|はたをふる|to show the way
気を晴らす|きをはらす|to cheer (someone) up
気を張る|きをはる|to steel oneself to; to brace oneself
気をはる|きをはる|to steel oneself to; to brace oneself
気を利かせる|きをきかせる|to make the smart move (after taking in the situation, etc.)
気を利かせる|きをきかせる|to do the tactful or helpful thing (after considering someone's feelings)
気をきかせる|きをきかせる|to make the smart move (after taking in the situation, etc.)
気をきかせる|きをきかせる|to do the tactful or helpful thing (after considering someone's feelings)
泣きを見る|なきをみる|to get into trouble; to get busted
恐れをなす|おそれをなす|to be scared
恐れを成す|おそれをなす|to be scared
胸を焦がす|むねをこがす|to yearn for; to pine for
故郷へ錦を飾る|こきょうへにしきをかざる|to come home in triumph; to return to one's hometown in glory
形を取る|かたちをとる|to take the form (of); to assume a shape
形をとる|かたちをとる|to take the form (of); to assume a shape
穴を埋める|あなをうめる|to fill in a hole; to plug up a hole; to fill in for a vacancy
血を流す|ちをながす|to shed blood
肩を落とす|かたをおとす|to drop one's shoulders
現場を押さえる|げんばをおさえる|to catch in the act (of)
現場をおさえる|げんばをおさえる|to catch in the act (of)
口を閉ざす|くちをとざす|to keep one's mouth shut; to refuse to talk
腰を落ち着ける|こしをおちつける|to settle down
腰を落ちつける|こしをおちつける|to settle down
骨を拾う|ほねをひろう|to collect the ashes of the deceased
骨を拾う|ほねをひろう|to look after someone's affairs after he dies
座敷犬|ざしきけん|dog that is raised indoors
心惹かれる|こころひかれる|to feel attracted by; to be fascinated by
心引かれる|こころひかれる|to feel attracted by; to be fascinated by
心魅かれる|こころひかれる|to feel attracted by; to be fascinated by
文芸評論家|ぶんげいひょうろんか|literary critic
文芸批評家|ぶんげいひひょうか|literary critic
真っ新|まっさら|brand new
利益至上主義|りえきしじょうしゅぎ|self interest supremacy doctrine; (irresponsible) capitalism
財布の紐を握る|さいふのひもをにぎる|to hold the purse strings
死線を越える|しせんをこえる|to be out of danger
糸を垂れる|いとをたれる|to fish; to have a line in the water
時を稼ぐ|ときをかせぐ|to play for time; to use delaying tactics
務所送り|むしょおくり|being sent to prison
むしょ送り|むしょおくり|being sent to prison
務所|むしょ|prison
ムショ||prison
時を得た|ときをえた|timely
耳を疑う|みみをうたがう|to not believe one's ears
借金を踏み倒す|しゃっきんをふみたおす|to default on one's debt
手を取る|てをとる|to take someone's hand
煩わせる|わずらわせる|to trouble; to bother; to annoy
手を離れる|てをはなれる|to become independent
手を離れる|てをはなれる|to leave one's hands; to leave one's possession
手足を伸ばす|てあしをのばす|to stretch out
終わりを告げる|おわりをつげる|to mark the end; to spell the end
移動通信|いどうつうしん|mobile communications
出欠を取る|しゅっけつをとる|to take a roll call
所帯を持つ|しょたいをもつ|to keep a house; to run a household
身を隠す|みをかくす|to hide oneself
身を投げる|みをなげる|to throw oneself (e.g. off a cliff, etc.)
声を張り上げる|こえをはりあげる|to raise one's voice; to shout
息を切らす|いきをきらす|to be out of breath
吐き気を催す|はきけをもよおす|to feel nauseated; to feel sick
幅を利かせる|はばをきかせる|to throw one's weight around; to exercise one's authority; to make one's presence felt
巾を利かせる|はばをきかせる|to throw one's weight around; to exercise one's authority; to make one's presence felt
腹を決める|はらをきめる|to resolve; to make up one's mind; to decide
腹をきめる|はらをきめる|to resolve; to make up one's mind; to decide
名を汚す|なをけがす|to shame the name (of); to blot the reputation (of)
運び屋|はこびや|courier; smuggler; carrier (e.g. of illegal drugs); trafficker
命を捧げる|いのちをささげる|to give one's life (e.g. in battle); to devote one's life (e.g. to a cause)
お開きにする|おひらきにする|to break up (e.g. a meeting); to call it a night
ぎゅうぎゅう詰め|ぎゅうぎゅうづめ|jam packed
どういう風の吹き回しか|どういうかぜのふきまわしか|whatever brought that on?
どうした風の吹き回しか|どうしたかぜのふきまわしか|whatever brought that on?
やっとの事で|やっとのことで|just managing; with great difficulty
アメリカ映画|アメリカえいが|American film; American movie
アメリカ英語|アメリカえいご|American English
アメリカ文化|アメリカぶんか|American culture
アルコール分|アルコールぶん|alcoholic content
イギリス文学|イギリスぶんがく|British literature
イタリア料理|イタリアりょうり|Italian food; Italian cooking
キャンセル料|キャンセルりょう|cancellation charge
キリスト教国|キリストきょうこく|Christian countries
クレーム処理|クレームしょり|handling complaints
コンパクト化|コンパクトか|compacting
サッカー選手|サッカーせんしゅ|soccer player
ストレス解消|ストレスかいしょう|stress reduction
スペイン料理|スペインりょうり|Spanish food; Spanish cooking
スポーツ選手|スポーツせんしゅ|athlete
ニュース番組|ニュースばんぐみ|news programme; news program
バスケットボール部|バスケットボールぶ|basketball club
バスケット部|バスケットぶ|basketball club
バドミントン部|バドミントンぶ|badminton club
パーティー券|パーティーけん|party ticket
フランス映画|フランスえいが|French film; French movie
