飛蝗目|ばったもく|Orthoptera
夜蛾|やが|owlet moth (members of the family Noctuidae); noctuid
ヤガ||owlet moth (members of the family Noctuidae); noctuid
巣穴|すあな|nesting hole; burrow; den
巣穴|そうけつ|nesting hole; burrow; den
巣孔|すあな|nesting hole; burrow; den
ぺたり||slapping on; flopping down
背筋鼠|せすじねずみ|striped field mouse (Apodemus agrarius)
セスジネズミ||striped field mouse (Apodemus agrarius)
子海豹|こあざらし|baby seal
子アザラシ|こアザラシ|baby seal
シェトランドポニー||Shetland pony
シェトランド・ポニー||Shetland pony
ハフリンガー||Haflinger (breed of horse)
ファラベラ||Falabella (miniature horse)
被引用回数|ひいんようかいすう|number of times cited; number of citations; citation number
コーパス言語学|コーパスげんごがく|corpus linguistics
翻訳研究|ほんやくけんきゅう|translation studies
翻訳学|ほんやくがく|translation studies
音楽民族学|おんがくみんぞくがく|ethnomusicology
社会人類学|しゃかいじんるいがく|social anthropology
施入|せにゅう|giving something as alms or dispensation; alms
つるり||smoothly; with a slipping or sliding motion
つるん||smoothly; with a slipping or sliding motion
内なる|うちなる|inner (self, voice, man, etc.); internal (conflict, tension, competition, etc.); interior
タマレ||tamale; tamal
タマレス||tamale; tamal
タマーレ||tamale; tamal
タマーレス||tamale; tamal
塵灰|じんかい|dust and ash
盤古|ばんこ|Pangu; creator of heaven and earth in Chinese mythology
盤固|ばんこ|Pangu; creator of heaven and earth in Chinese mythology
淫声|いんせい|screams produced during sex
淫声|いんせい|bawdy song; song of low character
公地|こうち|public land; government land
鴻基|こうき|foundation of a great project; base of a great enterprise
洪基|こうき|foundation of a great project; base of a great enterprise
舳|じく|bow of a ship
掌客|しょうきゃく|court official in charge of entertaining important guests
面伏せ|おもてぶせ|being so embarrassed as to keep one's face down
めりめり||splintering or cracking (e.g. in a strong wind)
蔓竜胆|つるりんどう|tsururindo (Tripterospermum japonicum)
ツルリンドウ||tsururindo (Tripterospermum japonicum)
立形多段渦巻きステンレスポンプ|たてがたただんうずまきステンレスポンプ|vertical multistage centrifugal stainless pomp
発音学|はつおんがく|phonetics; phonology
発声学|はっせいがく|vocology
官庫|かんこ|national treasury
官庫|かんこ|warehouse owned by the government
人文学部|じんぶんがくぶ|faculty of humanities
情報学部|じょうほうがくぶ|faculty of informatics
酒旗|さかばた|flag raised as a sign for an izakaya
大宰|おおみこともち|government official working for the daizaifu
公立大学|こうりつだいがく|public university
道蔵|どうぞう|Dao Zang; Taoist canon
どっちにしても||either way; in any case; one way or another
どちらにしても||either way; in any case; one way or another
ヤミイソハゼ||Eviota lacrimae (species of pygmy goby found in Japan and Tonga)
選択者|せんたくしゃ|chooser; selector
大貧民|だいひんみん|Japanese card game
きめ細やか|きめこまやか|smooth; polite and attentive to detail
木目細やか|きめこまやか|smooth; polite and attentive to detail
外なる|そとなる|outer (self, etc.); external (conflict, tension, competition, etc.)
たぷたぷ||flabby
ハナグロイソハゼ||Eviota shimadai (species of pygmy goby found in Japan, Palau and Indonesia)
神経膠細胞|しんけいこうさいぼう|neuroglial cell
遮音|しゃおん|soundproofing; sound insulation
ハゼ科|ハゼか|Gobiidae; family of gobies
ベニハゼ属|ベニハゼぞく|Trimma (genus of goby in the family Gobiidae)
ベニハゼ||caesiura dwarfgoby (Trimma caesiura, goby from the Western Pacific)
アオギハゼ||blue-striped cave goby (Trimma tevegae, was Trimma caudomaculata); blue-striped dwarfgoby; cave pygmy-goby
ウロコベニハゼ||Emery's goby (Trimma emeryi)
エリホシベニハゼ||four-eye pygmy goby (Trimma hayashii, found from Japan to the Solomons)
オキナワベニハゼ||Okinawa rubble goby (Trimma okinawae); red-spotted dwarfgoby; orange-red goby; Okinawa pygmy-goby
危害を加える|きがいをくわえる|to harm; to cause harm to
オニベニハゼ||Trimma yanagitai (species of goby found in Japan)
ニンギョウベニハゼ||Trimma sheppardi (species of goby found in the Indo-West Pacific)
チゴベニハゼ||Naude's rubble goby (Trimma naudei, an Indo-West Pacific fish species); rubble dwarfgoby; red pygmy-goby
オヨギベニハゼ||yellow cave goby (Trimma taylori, species found in Indo-Pacific waters); cave dwarfgoby; yellow-speckled pygmy-goby
電波系|でんぱけい|somebody who has wild fantasies; someone who hears voices; someone who is crazy
カスリモヨウベニハゼ||Griffiths' pygmy-goby (Trimma griffithsi, found in the Indo-West Pacific); princess pygmy goby (Trimma marinae, found in Japan, New Guinea and Palau)
カタボシニシキベニハゼ||Trimma nomurai (species of goby found in Japan, Indonesia and New Caledonia)
シリウスベニハゼ||Trimma halonevum (species of goby found in Papua New Guinea); sparsely-spotted pygmy-goby
ダイトクベニハゼ||Trimma caudipunctatum (species of goby found in Japan and Palau)
ナガシメベニハゼ||Trimma kudoi (species of goby found in Japan)
ヒメアオギハゼ||wasp pygmy goby (Trimma flavatrum)
ヒメニラミベニハゼ||sharp-eye pygmy-goby (Trimma anaima)
フジナベニハゼ||Trimma winchi (species of goby from the Chagos Archipelago)
ペガススベニハゼ||greybearded pygmy goby (Trimma annosum, from the Indo-West Pacific)
ホシクズベニハゼ||Trimma milta (species of goby from French Polynesia)
ホテイベニハゼ||Trimma yanoi (species of goby from the Ryukyu Islands of Japan)
ムラサキズキンベニハゼ||Trimma imaii (species of goby found in Japan)
メガネベニハゼ||redface dwarfgoby (Trimma benjamini, species found in the Western Pacific); ring-eye pygmy-goby
シマイソハゼ||candycane pygmy goby (Trimma cana, species from the Western Pacific)
乱数発生ルーチン|らんすうはっせいルーチン|random number generator; random number routine
乱数発生ルチン|らんすうはっせいルチン|random number generator; random number routine
ルーチング||routing
阿檀|あだん|umbrella tree (Pandanus odorifer); fragrant screw pine; kewda
アダン||umbrella tree (Pandanus odorifer); fragrant screw pine; kewda
資金供給|しきんきょうきゅう|financing; funds provision; funds supply; supply of investable funds
資金循環|しきんじゅんかん|funds flow; transfer of funds
ブルズアイピグミーゴビー||bullseye pygmy goby (Trimma tauroculum, found in Palau)
ブルズアイ・ピグミー・ゴビー||bullseye pygmy goby (Trimma tauroculum, found in Palau)
イクスクイジットピグミーゴビー||exquisite pygmy goby (Trimma preclarum)
イクスクイジット・ピグミー・ゴビー||exquisite pygmy goby (Trimma preclarum)
幸運の女神は前髪しかない|こううんのめがみはまえがみしかない|opportunity only knocks once; strike while the iron is hot
ジャイアントピグミーゴビー||giant pygmy goby (Trimma gigantum, fish found in Palau)
ハーロットピグミーゴビー||harlot pygmy goby (Trimma fucatum, fish species from Thailand)
ハーロット・ピグミー・ゴビー||harlot pygmy goby (Trimma fucatum, fish species from Thailand)
ランドールズピグミーゴビー||Randall's pygmy goby (Trimma randalli, species in Palau and the Philippines)
ランドールズ・ピグミー・ゴビー||Randall's pygmy goby (Trimma randalli, species in Palau and the Philippines)
木の下陰|このしたかげ|shade of a tree
木の下闇|このしたやみ|dark under the trees; obscurity of a forest
レッドラインドピグミーゴビー||stripehead goby (Trimma striatum, was Trimma striata); stripehead dwarf goby (an Indo-West Pacific fish species)
ストライプヘッドドワーフゴビー||stripehead goby (Trimma striatum, was Trimma striata); stripehead dwarf goby (an Indo-West Pacific fish species)
ストリアータゴビー||stripehead goby (Trimma striatum, was Trimma striata); stripehead dwarf goby (an Indo-West Pacific fish species)
レッドラインド・ピグミー・ゴビー||stripehead goby (Trimma striatum, was Trimma striata); stripehead dwarf goby (an Indo-West Pacific fish species)
ストライプヘッド・ドワーフ・ゴビー||stripehead goby (Trimma striatum, was Trimma striata); stripehead dwarf goby (an Indo-West Pacific fish species)
ストリアータ・ゴビー||stripehead goby (Trimma striatum, was Trimma striata); stripehead dwarf goby (an Indo-West Pacific fish species)
記号学者|きごうがくしゃ|symbolist
記号論学者|きごうろんがくしゃ|symbolist
ジャズ演奏家|ジャズえんそうか|jazz musician; jazzman
飛散防止|ひさんぼうし|antiscattering; shatter-resistant; shatterproof
英語学科|えいごがっか|English department (e.g. in a university)
ドイツ語学科|ドイツごがっか|German department (e.g. in a university)
属州|ぞくしゅう|provincia; province of ancient Rome
抑鬱症|よくうつしょう|depression
オキナメクラ||Myxine paucidens (species of hagfish from the Sagaminada Sea in Japan)
クロメクラウナギ||brown hagfish (Eptatretus atami, species found in Japan)
ムラサキヌタウナギ||Eptatretus okinoseanus (species of hagfish found in Japan and Taiwan)
ミツバヤツメ||Pacific lamprey (Lampetra tridentata); Pacific three-toothed lamprey
ジョルダンギンザメ||Chimaera jordani (species of deep water cartilaginous ghost shark)
シロブチギンザメ||Chimaera owstoni (species of deep water cartilaginous ghost shark found in Japan)
ギンザメダマシ||Hydrolagus ogilbyi (species of cartilaginous fish endemic to Australia); Ogilbys ghostshark
ココノホシギンザメ||Hydrolagus barbouri (species of cartilaginous fish found in the Sea of Japan and East China Sea)
ムラサキギンザメ||purple chimaera (Hydrolagus purpurescens, species of cartilaginous fish found in Japan and the Hawaiian Islands)
ニジギンザメ||Hydrolagus eidolon (species of deep water Japanese cartilaginous fish)
アカギンザメ||spookfish (Hydrolagus mitsukurii, species of cartilaginous fish from the Northwest Pacific)
アズマギンザメ||Pacific longnose chimaera (Harriotta raleighana, species of deep water cartilaginous fish); narrownose chimaera
クロテングギンザメ||Rhinochimaera africana (species of cartilaginous fish from the Southeast Atlantic)
接続記録|せつぞくきろく|access log
テングギンザメ||Pacific spookfish (Rhinochimaera pacifica, species of deep water cartilaginous fish); deep-sea chimaera
公正取引|こうせいとりひき|fair trade
顔認識|かおにんしき|facial recognition (the act of)
顔画像|かおがぞう|facial image
発泡ポリウレタン|はっぽうポリウレタン|foamed polyurethane; polyurethane foam
シマネコザメ||zebra bullhead shark (Heterodontus zebra, found in the Western Pacific)
力本説|りきほんせつ|dynamism
液体に浸す|えきたいにひたす|to dunk (e.g. food in a drink); to dip
液体に浸ける|えきたいにつける|to dunk (e.g. food in a drink)
液体に漬ける|えきたいにつける|to dunk (e.g. food in a drink)
液体につける|えきたいにつける|to dunk (e.g. food in a drink)
クラカケザメ||saddle carpetshark (Cirrhoscyllium japonicum, species found in Japan)
ヒゲザメ||barbelthroat carpetshark (Cirrhoscyllium expolitum, species from the China Sea)
