尾根|おね|(mountain) ridge; spur
舞曲|ぶきょく|musical dance; music and dancing
舞子|まいこ|apprentice geisha
舞子|まいこ|dancing girl
舞妓|まいこ|apprentice geisha
舞妓|まいこ|dancing girl
舞妓|ぶぎ|apprentice geisha
舞妓|ぶぎ|dancing girl
舞扇|まいおうぎ|dancer's fan
舞台|ぶたい|stage (theatre, theater)
舞台|ぶたい|scene or setting (e.g. of novel, play, etc.)
舞台裏|ぶたいうら|offstage; backstage; behind the scenes
舞茸|まいたけ|hen-of-the-woods (species of polypore mushroom, Grifola frondosa)
マイタケ||hen-of-the-woods (species of polypore mushroom, Grifola frondosa)
舞踏|ぶとう|dancing
舞踏|ぶとう|contemporary performance dance
舞踏会|ぶとうかい|ball; dance
舞踏曲|ぶとうきょく|dance music
舞姫|まいひめ|female dancer; dancing girl; danseuse
舞姫|ぶき|female dancer; dancing girl; danseuse
舞踊|ぶよう|dancing; dance
葡萄|ぶどう|grape; grapevine
葡萄|えび|grape; grapevine
ブドウ||grape; grapevine
葡萄酒|ぶどうしゅ|(grape) wine
ぶどう酒|ぶどうしゅ|(grape) wine
ブドウ酒|ブドウしゅ|(grape) wine
葡萄棚|ぶどうだな|grapevine trellis
ブドウ糖|ブドウとう|grape sugar; glucose; dextrose
葡萄糖|ぶどうとう|grape sugar; glucose; dextrose
蕪|かぶ|turnip (Brassica rapa)
蕪|かぶら|turnip (Brassica rapa)
蕪|かぶな|turnip (Brassica rapa)
蕪菁|かぶ|turnip (Brassica rapa)
蕪菁|かぶら|turnip (Brassica rapa)
蕪菁|かぶな|turnip (Brassica rapa)
蕪菜|かぶらな|turnip (Brassica rapa)
カブ||turnip (Brassica rapa)
カブラ||turnip (Brassica rapa)
部|ぶ|department (in an organization); division; bureau
部|ぶ|club
部|ぶ|part; component; element
部|ぶ|category
部|ぶ|counter for copies of a newspaper or magazine
部位|ぶい|part; position (in a whole, i.e. body)
部員|ぶいん|staff; member (club, society, etc.)
部屋|へや|room; chamber
部屋|へや|apartment; flat; pad
部屋|へや|stable
部屋代|へやだい|room rent
部屋着|へやぎ|dressing gown; housedress; house coat; peignoir
部下|ぶか|subordinate person
部外|ぶがい|outside the department
部外者|ぶがいしゃ|outsider; someone outside of a group
部外秘|ぶがいひ|restricted to the department
部材|ぶざい|component; part; member; fitting
部財|ぶざい|component; part; member; fitting
部首|ぶしゅ|radical (of a kanji character)
部数|ぶすう|no. of copies; circulation
部族|ぶぞく|tribe; clan; house
部隊|ぶたい|force; unit; corps; echelon; element
部隊区分|ぶたいくぶん|task organization; task organisation
部隊撤退|ぶたいてったい|troop withdrawal
部長|ぶちょう|head (chief, director) of a section or department
部長|ぶちょう|head of a (school) club; head of a (school) team
部内|ぶない|the staff; inside the department
部品|ぶひん|parts; accessories; components
部分|ぶぶん|portion; section; part
部分集合|ぶぶんしゅうごう|subset
部分的|ぶぶんてき|partial
部分麻酔|ぶぶんますい|local anesthetic; local anaesthetic
部面|ぶめん|phase; aspect; field; side
部門|ぶもん|division (of a larger group); branch; field; class (subclass); group; category; department
部落|ぶらく|hamlet; subunit of village
部落|ぶらく|burakumin area
部落民|ぶらくみん|Burakumin (modern-day descendants of Japan's feudal outcast group)
部類|ぶるい|class; heading; group; category
封|ふう|seal
封じ込む|ふうじこむ|to entrap
封じ込める|ふうじこめる|to shut in; to confine; to contain
封印|ふういん|seal; stamp
封印|ふういん|to stamp; to affix a seal; to seal up; to seal off
封建|ほうけん|feudalistic
封建時代|ほうけんじだい|feudal era; feudal times; feudal period; feudal age; age of feudalism
封建制度|ほうけんせいど|feudal system; feudalism
封鎖|ふうさ|blockade
封鎖|ふうさ|freezing (funds)
封殺|ふうさつ|suppression (e.g. free speech)
封殺|ふうさつ|forceout
封書|ふうしょ|sealed letter
封切り|ふうきり|premiere; first showing; release (film)
封切|ふうきり|premiere; first showing; release (film)
封筒|ふうとう|envelope
封入|ふうにゅう|enclose (in letter)
楓子香|ふうしこう|galbanum (gum resin from fennel)
風|かぜ|wind; breeze; draught; draft
風|かぜ|manner; behaviour; behavior
風|かぜ|cold; influenza
風|ふう|method; manner; way; style
風|ふう|appearance; air
風|ふう|tendency
風|ふう|folk song (genre of the Shi Jing)
風|ふう|wind (one of the five elements)
風雨|ふうう|wind and rain
風雲|ふううん|winds and clouds; nature; the elements
風雲|ふううん|situation; state of affairs
風下|かざしも|leeward; lee; downwind
風化|ふうか|weathering
風化|ふうか|fading (of memories)
風化|ふうか|efflorescence
風雅|ふうが|elegance; grace; refinement; good taste
風格|ふうかく|personality; style; appearance
風紀|ふうき|public morals
風紀紊乱|ふうきびんらん|corrupt public morals
風琴|ふうきん|organ; harmonium
風景|ふうけい|scenery; scene; landscape; view; sight
風景|ふうけい|scene (e.g. of a crime)
風光絶佳|ふうこうぜっか|scenic beauty
風向き|かざむき|wind's direction
風向き|かぜむき|wind's direction
風刺|ふうし|satire; irony; sarcasm
諷刺|ふうし|satire; irony; sarcasm
風姿|ふうし|appearance; demeanor; demeanour
風邪をひく|かぜをひく|to catch a cold
風邪を引く|かぜをひく|to catch a cold
かぜを引く|かぜをひく|to catch a cold
風習|ふうしゅう|custom
風情|ふぜい|taste; elegance; charm
風情|ふぜい|appearance; air
風情|ふぜい|the likes of ...; lowly people such as ...
風情|ふうじょう|appearance; air
風疹|ふうしん|rubella; German measles
風しん|ふうしん|rubella; German measles
風水|ふうすい|Chinese geomancy; feng shui
フウスイ||Chinese geomancy; feng shui
風雪|ふうせつ|wind and snow; snowstorm; blizzard
風雪|ふうせつ|hardships
風船|ふうせん|balloon (esp. small, toy variety)
風速|ふうそく|wind speed
風俗|ふうぞく|manners; customs
風俗|ふうぞく|sex service; sex industry; sex-oriented entertainment
フーゾク||manners; customs
フーゾク||sex service; sex industry; sex-oriented entertainment
風体|ふうてい|appearance; look; dress
風体|ふうたい|appearance; look; dress
風袋|ふうたい|packing; wrapping; tare
風致地区|ふうちちく|scenic zone; landscape area
風潮|ふうちょう|tide; current
風潮|ふうちょう|tendency
風通し|かぜとおし|ventilation
風通し|かぜとおし|communication (within an organisation); openness
風通し|かざとおし|ventilation
風通し|かざとおし|communication (within an organisation); openness
風とおし|かぜとおし|ventilation
風とおし|かぜとおし|communication (within an organisation); openness
風とおし|かざとおし|ventilation
風とおし|かざとおし|communication (within an organisation); openness
風土|ふうど|natural features; topography; climate; spiritual features
風土病|ふうどびょう|endemic disease; local disease
風物|ふうぶつ|natural features; scenery
風物|ふうぶつ|things particular to a certain region or season; characteristic scenery and customs; scenes and manners
風聞|ふうぶん|rumour; rumor; hearsay; report
風流|ふうりゅう|elegance; taste; refinement
風力|ふうりょく|wind power
風力|ふうりょく|force (level on the Beaufort wind speed scale)
風鈴|ふうりん|wind chime; wind bell
風りん|ふうりん|wind chime; wind bell
風呂|ふろ|bath; bathtub
風呂|ふろ|bathroom; bathhouse
風呂|ふろ|room for drying lacquerware
風呂|ふろ|base (wooden joint connecting the blade of a hoe, spade, etc., to the handle)
風呂屋|ふろや|public bathhouse
風呂屋|ふろや|bathhouse proprietor
風呂桶|ふろおけ|bathtub (esp. wooden and bucket-shaped)
風呂桶|ふろおけ|small bucket used while bathing
風呂釜|ふろがま|bath heater
風呂場|ふろば|bathroom
風呂敷|ふろしき|wrapping cloth; cloth wrapper
風靡|ふうび|overwhelming; conquering; dominating; sweeping (the world); swaying
風び|ふうび|overwhelming; conquering; dominating; sweeping (the world); swaying
蕗|ふき|giant butterbur (Petasites japonicus); Japanese sweet coltsfoot
蕗|ふふき|giant butterbur (Petasites japonicus); Japanese sweet coltsfoot
苳|ふき|giant butterbur (Petasites japonicus); Japanese sweet coltsfoot
款冬|ふき|giant butterbur (Petasites japonicus); Japanese sweet coltsfoot
菜蕗|ふき|giant butterbur (Petasites japonicus); Japanese sweet coltsfoot
フキ||giant butterbur (Petasites japonicus); Japanese sweet coltsfoot
伏する|ふくする|to crouch; to stoop; to bend down; to prostrate oneself; to lie down
伏する|ふくする|to yield; to submit; to surrender
伏する|ふくする|to hide; to conceal oneself
伏して|ふして|bowing down; humbly; respectfully
伏し倒れる|ふしたおれる|to fall down
伏し拝む|ふしおがむ|to kneel and worship
伏せる|ふせる|to lay something upside down; to turn something over; to lay something face down
伏せる|ふせる|to cover; to lay (pipes); to lay (an ambush); to hide; to conceal
伏せ籠|ふせかご|coop; hen coop
伏在|ふくざい|lying concealed; being hidden
伏射|ふくしゃ|shooting lying prone
伏射濠|ふくしゃごう|sheltered trench
伏水|ふくすい|water gone underground (to emerge as a spring)
伏線|ふくせん|foreshadowing
伏線|ふくせん|preparation; precautionary measures
伏奏|ふくそう|report to the throne
伏兵|ふくへい|ambush; troops in ambush
伏魔殿|ふくまでん|abode of demons; hotbed (of graft); pandemonium
副|ふく|assistant; associate; vice-; sub-; deputy; substitute; auxiliary; supplementary; additional; collateral
副|ふく|duplicate; copy
副|ふく|adverb
副因|ふくいん|secondary cause
副会長|ふくかいちょう|vice president (of a club or organization, organisation)
副議長|ふくぎちょう|vice-chairman
副業|ふくぎょう|side job; sideline; subsidiary business
副見出し|ふくみだし|subhead; subheading; subtitle
副作用|ふくさよう|side effect; adverse reaction
副産物|ふくさんぶつ|byproduct; side line
副使|ふくし|vice-envoy; deputy delegate
副司令|ふくしれい|deputy commander
副詞|ふくし|adverb
副次的|ふくじてき|secondary
副社長|ふくしゃちょう|executive vice-president
副尺|ふくしゃく|vernier scale
副手|ふくしゅ|assistant; associate
副首相|ふくしゅしょう|deputy prime minister; vice prime minister
副収入|ふくしゅうにゅう|additional income
副署|ふくしょ|countersignature
副書|ふくしょ|copy; duplicate
副将|ふくしょう|second in command
副将|ふくしょう|fourth athlete to compete in a 5-on-5 team competition (kendo, judo, etc.)
副賞|ふくしょう|extra prize
副食|ふくしょく|side dish; supplementary food
副食物|ふくしょくぶつ|side dish; supplementary food
副審|ふくしん|sub-umpire; sub-referee
副腎|ふくじん|suprarenal body; adrenal glands
副葬品|ふくそうひん|grave goods; burial accessories
副大統領|ふくだいとうりょう|vice president (of a country)
副題|ふくだい|subtitle; subheading
副抵当|ふくていとう|collateral security
副虹|ふくにじ|secondary rainbow
副虹|ふくこう|secondary rainbow
副牧師|ふくぼくし|associate pastor; curate
