上右|うえみぎ|upper right (corner)
一昨昨年|さおととし|two years before last (year); three years back (ago)
一昨昨年|さいととし|two years before last (year); three years back (ago)
一昨昨年|いっさくさくねん|two years before last (year); three years back (ago)
砂塵濛々|さじんもうもう|big clouds of dust; haze of dust
砂塵濛濛|さじんもうもう|big clouds of dust; haze of dust
砂塵朦々|さじんもうもう|big clouds of dust; haze of dust
砂塵朦朦|さじんもうもう|big clouds of dust; haze of dust
四季折々|しきおりおり|from season to season; season by season; of each season; in each season
四季折折|しきおりおり|from season to season; season by season; of each season; in each season
詩人墨客|しじんぼっかく|poets and artists; persons who take delight in such refined pursuits as poetry, literature, painting, and calligraphy
詩人墨客|しじんぼっきゃく|poets and artists; persons who take delight in such refined pursuits as poetry, literature, painting, and calligraphy
日月星辰|じつげつせいしん|the sun, the moon and the stars; the heavenly bodies
日月星辰|にちげつせいしん|the sun, the moon and the stars; the heavenly bodies
臭気芬々|しゅうきふんぷん|giving off a foul odor; the air being heavy with an offensive smell
臭気芬芬|しゅうきふんぷん|giving off a foul odor; the air being heavy with an offensive smell
心身一如|しんしんいちにょ|body and mind as one; mind-body unity
心身一如|しんじんいちにょ|body and mind as one; mind-body unity
身心一如|しんしんいちにょ|body and mind as one; mind-body unity
身心一如|しんじんいちにょ|body and mind as one; mind-body unity
人心恟々|じんしんきょうきょう|the people being panic-stricken (in alarm)
人心恟恟|じんしんきょうきょう|the people being panic-stricken (in alarm)
尽未来際|じんみらいさい|to the end of time; to the crack of doom; for ever and ever
尽未来際|じんみらいざい|to the end of time; to the crack of doom; for ever and ever
神武以来|じんむいらい|since the era of the Emperor Jinmu; (first ever) since the dawn of Japan's history; unprecedented
神武以来|じんむこのかた|since the era of the Emperor Jinmu; (first ever) since the dawn of Japan's history; unprecedented
人倫退廃|じんりんたいはい|decline (decay, corruption) of ethical standards
人倫頽廃|じんりんたいはい|decline (decay, corruption) of ethical standards
千山万水|せんざんばんすい|many mountains and rivers; a great distance to travel
千山万水|せんさんばんすい|many mountains and rivers; a great distance to travel
戦々慄々|せんせんりつりつ|trembling with fear; filled with trepidation
戦戦慄慄|せんせんりつりつ|trembling with fear; filled with trepidation
千慮一失|せんりょいっしつ|mere slip by someone who is usually very careful; simple mistake by a wise person; point overlooked by a cautious person
千慮一失|せんりょのいっしつ|mere slip by someone who is usually very careful; simple mistake by a wise person; point overlooked by a cautious person
千慮一得|せんりょいっとく|Even a fool may sometimes come up with a good idea
千慮一得|せんりょのいっとく|Even a fool may sometimes come up with a good idea
俗気芬々|ぞくけふんぷん|of low (vulgar) taste; lacking class
俗気芬芬|ぞくけふんぷん|of low (vulgar) taste; lacking class
大死一番|だいしいちばん|exerting oneself to the utmost, prepared to die if necessary
大死一番|たいしいちばん|exerting oneself to the utmost, prepared to die if necessary
太平無事|たいへいぶじ|peace and quiet; safe and peaceful; tranquil and uneventful
泰平無事|たいへいぶじ|peace and quiet; safe and peaceful; tranquil and uneventful
縦割行政|たてわりぎょうせい|vertically segmented administrative system; overcompartmentalized bureaucracy; system in which interministerial rivalry diminishes overall efficiency; (bureaucratic) sectionalism; interministerial rivalry; bureaucratic fiefdoms
縦割り行政|たてわりぎょうせい|vertically segmented administrative system; overcompartmentalized bureaucracy; system in which interministerial rivalry diminishes overall efficiency; (bureaucratic) sectionalism; interministerial rivalry; bureaucratic fiefdoms
貪官汚吏|たんかんおり|corrupt government official
貪官汚吏|どんかんおり|corrupt government official
知恵才覚|ちえさいかく|having wisdom and resources; being clever and talented
智恵才覚|ちえさいかく|having wisdom and resources; being clever and talented
知恵分別|ちえふんべつ|wisdom and good (common sense) judgment
智恵分別|ちえふんべつ|wisdom and good (common sense) judgment
喋々喃々|ちょうちょうなんなん|billing and cooing; holding an intimate, long-winded conversation in whispers
喋喋喃喃|ちょうちょうなんなん|billing and cooing; holding an intimate, long-winded conversation in whispers
朝々暮々|ちょうちょうぼぼ|every morning and evening
朝朝暮暮|ちょうちょうぼぼ|every morning and evening
人相風体|にんそうふうてい|someone's looks and personal appearance
人相風体|にんそうふうたい|someone's looks and personal appearance
白昼堂々|はくちゅうどうどう|openly (unashamedly) in broad daylight
白昼堂堂|はくちゅうどうどう|openly (unashamedly) in broad daylight
一人稽古|ひとりげいこ|practicing by oneself; self-instruction
独り稽古|ひとりげいこ|practicing by oneself; self-instruction
百尺竿頭|ひゃくせきかんとう|the highest state of one's enlightenment; the highest level one can attain
百尺竿頭|ひゃくしゃくかんとう|the highest state of one's enlightenment; the highest level one can attain
病気見舞|びょうきみまい|get-well card (gift, letter)
病気見舞|びょうきみまい|visit to (inquiry after) a sick person
病気見舞い|びょうきみまい|get-well card (gift, letter)
病気見舞い|びょうきみまい|visit to (inquiry after) a sick person
風紀退廃|ふうきたいはい|decay (decline, corruption) of public morals; moral decadence
風紀頽廃|ふうきたいはい|decay (decline, corruption) of public morals; moral decadence
無骨一徹|ぶこついってつ|rustic; boorish; uncouth; adamantly sticking to being boorish
武骨一徹|ぶこついってつ|rustic; boorish; uncouth; adamantly sticking to being boorish
不届千万|ふとどきせんばん|very rude; very insolent; extremely reprehensible; outrageous
不届き千万|ふとどきせんばん|very rude; very insolent; extremely reprehensible; outrageous
不立文字|ふりゅうもんじ|Buddhist revelation through intuitive discernment; Spiritual awakening cannot be experienced with words and letters; Spiritual enlightenment can be attained only by means of communion of mind with mind (Zen Buddhism)
不立文字|ふりつもんじ|Buddhist revelation through intuitive discernment; Spiritual awakening cannot be experienced with words and letters; Spiritual enlightenment can be attained only by means of communion of mind with mind (Zen Buddhism)
付和随行|ふわずいこう|participating in something by merely following the leaders
附和随行|ふわずいこう|participating in something by merely following the leaders
無為無聊|むいぶりょう|boredom; ennui; tedium; wearisomeness
無為無聊|むいむりょう|boredom; ennui; tedium; wearisomeness
無間奈落|むげんならく|the Avici hell, the eighth and most painful of the eight hells in Buddhism
無間奈落|むけんならく|the Avici hell, the eighth and most painful of the eight hells in Buddhism
無双仕立|むそうじたて|making a piece of clothing with the same cloth inside and out; making a kimono with lining of the same fabric
無双仕立て|むそうじたて|making a piece of clothing with the same cloth inside and out; making a kimono with lining of the same fabric
名声赫々|めいせいかっかく|of great renown; highly illustrious; at the zenith of one's fame
名声赫々|めいせいかくかく|of great renown; highly illustrious; at the zenith of one's fame
名声赫赫|めいせいかっかく|of great renown; highly illustrious; at the zenith of one's fame
名声赫赫|めいせいかくかく|of great renown; highly illustrious; at the zenith of one's fame
名声嘖々|めいせいさくさく|highly renowned; on everybody's lips; enjoying a high reputation
名声嘖嘖|めいせいさくさく|highly renowned; on everybody's lips; enjoying a high reputation
妄言多謝|もうげんたしゃ|Kindly excuse my reckless remarks; Please excuse my thoughtless words. (used deferentially, in a letter, etc.)
妄言多謝|ぼうげんたしゃ|Kindly excuse my reckless remarks; Please excuse my thoughtless words. (used deferentially, in a letter, etc.)
