無限軌道|むげんきどう|continuous track; caterpillar track
為替平価|かわせへいか|par value; exchange parity
為替予約|かわせよやく|exchange contract
為様|しざま|way of doing
異型分裂|いけいぶんれつ|heterotypic division
異形配偶子|いけいはいぐうし|anisogamete
異系交配|いけいこうはい|exogamy; outbreeding
異国情調|いこくじょうちょう|exoticism
異常血色素症|いじょうけっしきそしょう|hemoglobinopathy
異常心理学|いじょうしんりがく|abnormal psychology
異常震域|いじょうしんいき|region of anomalous seismic intensity
異常妊娠|いじょうにんしん|abnormal pregnancy
異常分娩|いじょうぶんべん|abnormal delivery
異食症|いしょくしょう|allotriophagy; pica
異数性|いすうせい|aneuploidy; heteroploidy
異数体|いすうたい|heteroploid
異名同音|いめいどうおん|enharmonic
移住民|いじゅうみん|immigrant; emigrant
移植免疫|いしょくめんえき|transplantation immunity
移転価格|いてんかかく|transfer price
移転収支|いてんしゅうし|balance of transfer account
移転所得|いてんしょとく|transfer income
移動性高気圧|いどうせいこうきあつ|migratory anticyclone
移動大使|いどうたいし|roving ambassador
移民政策|いみんせいさく|immigration policy
移民労働者|いみんろうどうしゃ|immigrant worker
維管束植物|いかんそくしょくぶつ|vascular plant
緯度観測所|いどかんそくじょ|latitude observatory
緯度変化|いどへんか|latitude variation
胃の腑|いのふ|stomach
胃アトニー|いアトニー|gastric atony
胃カメラ|いカメラ|endoscope; gastrocamera
胃ポリープ|いポリープ|gastric polyp
胃水管系|いすいかんけい|gastrovascular system
胃石|いせき|gastrolith
胃穿孔|いせんこう|gastric perforation; perforation of the stomach
胃腺|いせん|gastric gland
胃腸神経症|いちょうしんけいしょう|gastrointestinal neurosis
萎縮性鼻炎|いしゅくせいびえん|atrophic rhinitis
萎縮病|いしゅくびょう|dwarf disease (plants); leaf curl
衣蛾|いが|Tinea translucens (species of clothes moth)
イガ||Tinea translucens (species of clothes moth)
衣装合わせ|いしょうあわせ|dress coordination; costume coordination; fitting session; costume fitting
衣装合せ|いしょうあわせ|dress coordination; costume coordination; fitting session; costume fitting
衣装箪笥|いしょうだんす|wardrobe
衣装方|いしょうかた|dresser
違憲立法審査権|いけんりっぽうしんさけん|judicial review
違法性|いほうせい|illegality
違命|いめい|disobedience
遺棄罪|いきざい|abandonment
遺言証書|いごんしょうしょ|testamentary document
遺族補償|いぞくほしょう|compensation to the bereaved family
遺存種|いぞんしゅ|relict
遺伝子バンク|いでんしバンク|gene bank
遺伝子型|いでんしがた|genotype
遺伝子組み換え|いでんしくみかえ|gene recombination
遺伝子組み換え|いでんしくみかえ|genetically modified; GM
遺伝子組換え|いでんしくみかえ|gene recombination
遺伝子組換え|いでんしくみかえ|genetically modified; GM
遺伝子操作|いでんしそうさ|gene manipulation
遺伝子突然変異|いでんしとつぜんへんい|gene mutation
遺筆|いひつ|writing left by the deceased
医事訴訟|いじそしょう|medical suit
医薬部外品|いやくぶがいひん|quasi-drug; medicated products; quasi-medicine; product with relatively mild medicinal effect, sold in general stores as well as pharmacies
医用テレメーター|いようテレメーター|medical telemeter
医用生体工学|いようせいたいこうがく|medical biotechnology
医用電子工学|いようでんしこうがく|medical electronics
医療保障|いりょうほしょう|medical security
育児ノイローゼ|いくじノイローゼ|maternity nerves; maternity neurosis
育児嚢|いくじのう|pouch (of a marsupial); marsupium
育雛|いくすう|brooding
磯波|いそなみ|surf
一遺伝子雑種|いちいでんしざっしゅ|monohybrid
一塩基酸|いちえんきさん|monobasic acid
一価アルコール|いっかアルコール|monohydric alcohol
一価関数|いっかかんすう|single-valued function
一過性肺浸潤|いっかせいはいしんじゅん|transient pulmonary infiltration
一眼レフカメラ|いちがんレフカメラ|single lens reflex camera
一酸塩基|いっさんえんき|monoacidic base
一酸化窒素|いっさんかちっそ|nitric monoxide
一酸化二窒素|いっさんかにちっそ|dinitrogen oxide
一糸まとわず|いっしまとわず|stark-naked
一糸纏わず|いっしまとわず|stark-naked
一時帰休制|いちじききゅうせい|layoff system
一次エネルギー|いちじエネルギー|primary energy
一次コイル|いちじコイル|primary coil; primary winding (in transformer)
１次コイル|いちじコイル|primary coil; primary winding (in transformer)
一次式|いちじしき|linear expression
一次消費者|いちじしょうひしゃ|primary consumer
一次遷移|いちじせんい|primary succession
一次電池|いちじでんち|primary cell; primary battery
一次冷却水|いちじれいきゃくすい|primary cooling water
一重まぶた|ひとえまぶた|single-edged eyelid; eyelid with an epicanthic fold; upper eyelid with no fold
一重瞼|ひとえまぶた|single-edged eyelid; eyelid with an epicanthic fold; upper eyelid with no fold
一所不住|いっしょふじゅう|vagrant
一所不住|いっしょふじゅう|transient lifestyle
一人会社|いちにんかいしゃ|one man company
一太刀|ひとたち|stroke of sword
一般意味論|いっぱんいみろん|general semantics
一般角|いっぱんかく|general angle
一般官庁|いっぱんかんちょう|general government office
一般均衡理論|いっぱんきんこうりろん|general equilibrium theory
一般式|いっぱんしき|general expression
一般質問|いっぱんしつもん|general interpellation
一般消費税|いっぱんしょうひぜい|general consumption tax
一般相対性理論|いっぱんそうたいせいりろん|general theory of relativity
一部保険|いちぶほけん|under-insurance
一瘤駱駝|ひとこぶらくだ|dromedary
それ弾|それだま|stray bullet
それ玉|それだま|stray bullet
逸れ弾|それだま|stray bullet
逸れ玉|それだま|stray bullet
逸史|いっし|anecdotal history
茨の冠|いばらのかんむり|a crown of thorns
茨の道|いばらのみち|thorny path
いばらの道|いばらのみち|thorny path
茨垣|いばらがき|thorn hedge
芋貝|いもがい|cone shell
芋頭|いもがしら|tubercle
印刷インキ|いんさつインキ|printing ink
印刷電信|いんさつでんしん|printing telegraphy
印象派美術|いんしょうはびじゅつ|impressionism
咽頭結膜熱|いんとうけつまくねつ|pharyngoconjunctival fever
引張試験|ひっぱりしけん|tension test
引張り試験|ひっぱりしけん|tension test
引っ張り試験|ひっぱりしけん|tension test
引違い戸|ひきちがいど|double sliding door
引用書|いんようしょ|reference book
陰で糸を引く|かげでいとをひく|to pull wires; to pull strings
陰イオン|いんイオン|anion
陰核|へのこ|testicles
陰核|へのこ|penis
陰樹|いんじゅ|shade tree
隠し所|かくしどころ|hiding place
隠し所|かくしどころ|genitals
隠花植物類|いんかしょくぶつるい|cryptogamous plants
隠れ蟹|かくれがに|pea crab (any crab of the family Pinnotheridae)
隠蟹|かくれがに|pea crab (any crab of the family Pinnotheridae)
カクレガニ||pea crab (any crab of the family Pinnotheridae)
隠頭花序|いんとうかじょ|hypanthium
右胸心|うきょうしん|dextrocardia
右手の法則|みぎてのほうそく|(Fleming's) right-hand rule
右旋性|うせんせい|dextrorotatory
右螺子の法則|みぎねじのほうそく|corkscrew rule
宇宙ロケット|うちゅうロケット|space rocket
宇宙原理|うちゅうげんり|cosmological principle
宇宙公害|うちゅうこうがい|space environmental pollution
宇宙産業|うちゅうさんぎょう|space industry
宇宙進化論|うちゅうしんかろん|cosmogony
宇宙線嵐|うちゅうせんあらし|cosmic ray storm
宇宙船地球号|うちゅうせんちきゅうごう|Spaceship Earth
宇宙電波|うちゅうでんぱ|cosmic radio waves
宇宙背景放射|うちゅうはいけいほうしゃ|cosmic background radiation
宇宙発生論|うちゅうはっせいろん|cosmogony
宇宙病|うちゅうびょう|space nausea
宇宙物理学|うちゅうぶつりがく|astrophysics
宇宙法|うちゅうほう|space law
宇宙論的証明|うちゅうろんてきしょうめい|cosmological argument
烏口突起|うこうとっき|coracoid process
烏有に帰す|うゆうにきす|to be burned to ashes; to come to nothing
羽隠|はねかくし|rove beetle
隠翅虫|はねかくし|rove beetle
羽隠虫|はねかくし|rove beetle
羽隠し|はねかくし|rove beetle
ハネカクシ||rove beetle
羽状複葉|うじょうふくよう|pinnate compound leaf
羽状脈|うじょうみゃく|pinnately venation
羽虱|はじらみ|biting louse (any louse of order Mallophaga); chewing louse
ハジラミ||biting louse (any louse of order Mallophaga); chewing louse
雨降らし|あめふらし|sea hare (esp. species Aplysia kurodai)
雨虎|あめふらし|sea hare (esp. species Aplysia kurodai)
雨降|あめふらし|sea hare (esp. species Aplysia kurodai)
アメフラシ||sea hare (esp. species Aplysia kurodai)
雨緑樹林|うりょくじゅりん|rain green forest
渦巻きポンプ|うずまきポンプ|centrifugal pump
渦巻星雲|うずまきせいうん|spiral nebula
渦雷|からい|cyclonic thunder-storm
鰻筒|うなぎづつ|eel trap
閏日|うるうび|leap day
うるう日|うるうび|leap day
運賃保険|うんちんほけん|insurance on freight
運転資本|うんてんしほん|working capital
運動の法則|うんどうのほうそく|laws of motion
運動エネルギー|うんどうエネルギー|kinetic energy
運動学|うんどうがく|kinematics; kinesiology
運動失調症|うんどうしっちょうしょう|motor ataxia
運動障害|うんどうしょうがい|dyskinesia; motor impairment; motor disturbance
運動星団|うんどうせいだん|moving cluster
運動摩擦|うんどうまさつ|kinetic friction
運動療法|うんどうりょうほう|therapeutic exercise
運動量保存の法則|うんどうりょうほぞんのほうそく|law of conservation of momentum
運搬作用|うんぱんさよう|transportation
栄爵|えいしゃく|peerage
栄養塩類|えいようえんるい|nutritive salts
栄養器官|えいようきかん|vegetative organ
栄養生殖|えいようせいしょく|vegetative reproduction
永久革命論|えいきゅうかくめいろん|permanent revolution
永久機関|えいきゅうきかん|perpetual motion machine; perpetual motion engine; perpetuum mobile
永久公債|えいきゅうこうさい|perpetual bond
永久硬水|えいきゅうこうすい|permanent hard water
永久磁場|えいきゅうじば|permanent magnetic field
永久磁石発電機|えいきゅうじしゃくはつでんき|permanent magnet generator
